Area,City,Size (sq ft),Price ($)
Countryside,CityD,3599,265838
Seaside,CityD,700,435674
Uptown,CityD,3604,979989
Seaside,CityE,2954,161087
Seaside,CityC,4145,693128
Suburb,CityA,1304,218451
Uptown,CityD,3231,547600
Uptown,CityB,3273,937437
Uptown,CityD,2070,539792
Seaside,CityB,3190,139353
Countryside,CityB,4340,293075
Uptown,CityD,1528,314283
Seaside,CityE,1002,414877
Suburb,CityB,4993,165318
Countryside,CityB,1370,865313
Suburb,CityD,4988,582690
Countryside,CityB,706,516880
Seaside,CityB,1984,691460
Downtown,CityD,1363,840976
Countryside,CityD,3290,881239
Suburb,CityA,1063,193264
Seaside,CityE,4691,870746
Countryside,CityE,2257,913168
Downtown,CityB,2178,325281
Downtown,CityE,3742,737147
Uptown,CityB,1559,998613
Uptown,CityA,2222,494070
Suburb,CityD,3814,452228
Countryside,CityD,3657,531839
Countryside,CityD,3125,369536
Uptown,CityE,3229,417824
Countryside,CityA,2097,357426
Countryside,CityE,3560,277789
Downtown,CityE,3193,613153
Uptown,CityA,4127,842452
Seaside,CityA,1863,937291
Uptown,CityA,2481,225657
Seaside,CityA,2163,335167
Downtown,CityD,2029,781669
Suburb,CityC,2538,580671
Countryside,CityC,3802,819094
Downtown,CityA,2737,170467
Countryside,CityC,1806,283734
Suburb,CityC,4529,722794
Suburb,CityA,3175,209751
Downtown,CityC,1782,481050
Suburb,CityE,1209,911774
Seaside,CityB,4913,792517
Suburb,CityB,4248,561079
Countryside,CityA,1163,468452
